filename,R,G,B,BC_TOT
SP2-B201-G-H6.jpg,172.36180995475112,165.36633484162897,133.21321266968326,to_be_calculated
SP2-B201-G-H7.jpg,212.72760180995473,210.0372850678733,188.3447963800905,to_be_calculated
SP2-B201-G-H20.jpg,169.0526696832579,163.95710407239818,140.48253393665158,to_be_calculated
SP2-B201-G-H5.jpg,238.16199095022623,239.01990950226244,233.28742081447965,to_be_calculated
SP2-B201-G-H4.jpg,234.08923076923077,231.79149321266968,221.80886877828053,to_be_calculated
SP2-B201-G-H21.jpg,172.44506787330317,168.21411764705883,150.84615384615384,to_be_calculated
SP2-B201-G-H19.jpg,176.4083257918552,171.54841628959275,152.1299547511312,to_be_calculated
SP2-B201-G-H1.jpg,222.95131221719456,220.53466063348415,207.28307692307692,to_be_calculated
SP2-B201-G-H18.jpg,202.04542986425338,200.67348416289593,186.14714932126697,to_be_calculated
SP2-B201-G-H3.jpg,222.95221719457012,220.08597285067873,204.4675113122172,to_be_calculated
SP2-B201-G-H2.jpg,239.72090497737557,240.84054298642533,234.04850678733033,to_be_calculated
SP1-B201-G-3.jpg,216.78552036199093,213.77013574660634,199.63438914027148,to_be_calculated
SP1-B201-G-2.jpg,243.8235294117647,246.43203619909502,244.34877828054297,to_be_calculated
SP1-B201-G-1.jpg,248.2870588235294,213.50190045248868,188.69737556561086,to_be_calculated
SP1-B201-G-5.jpg,207.9395475113122,201.1475113122172,178.83004524886877,to_be_calculated
SP1-B201-G-4.jpg,230.08307692307693,227.45592760180995,214.2743891402715,to_be_calculated
SP1-B201-G-6.jpg,172.5533031674208,166.16886877828054,139.9837104072398,to_be_calculated
SP2-B201-G-L8.jpg,187.42932126696832,181.56796380090498,154.41466063348415,to_be_calculated
SP2-B201-G-L9.jpg,226.87004524886876,225.62135746606336,211.80506787330316,to_be_calculated
SP1-B201-G-7.jpg,224.13990950226244,220.8439819004525,206.9601809954751,to_be_calculated
SP2-B201-G-L4.jpg,246.71692307692308,247.70045248868777,245.88343891402715,to_be_calculated
SP2-B201-G-L5.jpg,206.6027149321267,202.6387330316742,177.49556561085973,to_be_calculated
SP2-B201-G-L7.jpg,174.23547511312216,170.4358371040724,147.9851583710407,to_be_calculated
SP2-B201-G-L6.jpg,232.98009049773756,232.73737556561085,218.39076923076922,to_be_calculated
SP2-B201-G-L2.jpg,230.85339366515836,228.73393665158372,216.83402714932126,to_be_calculated
SP2-B201-G-L3.jpg,240.35257918552037,241.19619909502262,236.79692307692306,to_be_calculated
SP2-B201-G-L1.jpg,236.1875113122172,237.81049773755655,230.14678733031673,to_be_calculated
SP2-B201-G-H16.jpg,130.19800904977376,126.67927601809954,107.03909502262444,to_be_calculated
SP2-B201-G-L12.jpg,153.75837104072397,148.22027149321266,124.50733031674208,to_be_calculated
SP2-B201-G-L13.jpg,205.8012669683258,203.8056108597285,186.980814479638,to_be_calculated
SP2-B201-G-H17.jpg,189.06171945701357,185.21140271493212,165.1945701357466,to_be_calculated
SP2-B201-G-H15.jpg,164.1172850678733,160.4177375565611,136.61719457013575,to_be_calculated
SP2-B201-G-L11.jpg,220.44742081447964,219.93737556561086,208.0635294117647,to_be_calculated
SP2-B201-G-L10.jpg,198.5254298642534,194.28180995475114,174.45918552036198,to_be_calculated
SP2-B201-G-H14.jpg,169.6921266968326,162.3505882352941,133.36868778280544,to_be_calculated
SP2-B201-G-H10.jpg,145.15837104072398,139.36597285067873,111.9241628959276,to_be_calculated
SP2-B201-G-L14.jpg,200.15547511312218,197.05737556561087,181.62570135746606,to_be_calculated
SP2-B201-G-H9.jpg,140.35384615384615,136.77285067873302,114.04705882352941,to_be_calculated
SP2-B201-G-H8.jpg,123.1489592760181,119.60868778280543,95.84723981900453,to_be_calculated
SP2-B201-G-L15.jpg,194.94533936651584,190.74733031674208,171.64669683257918,to_be_calculated
SP2-B201-G-H11.jpg,205.5395475113122,200.21447963800904,175.4883257918552,to_be_calculated
SP2-B201-G-H13.jpg,200.28886877828054,197.73484162895926,176.50533936651584,to_be_calculated
SP2-B201-G-L17.jpg,190.16199095022625,187.12796380090498,172.1614479638009,to_be_calculated
SP2-B201-G-L16.jpg,196.1143891402715,193.42660633484164,180.82968325791856,to_be_calculated
SP2-B201-G-H12.jpg,170.90171945701357,166.26171945701358,143.5198190045249,to_be_calculated
